,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo
0,1,3,"283,304-A,427,337 ",01/02/2017,2017-01-02,Kiratpur Sahib,1900-01-02,12:45:00,Bus/Truck,0,0,0,Car/Jeep/Van,2,2,0,Hit from Back,0,Intersection,Rough Driving,Bharatgarh,2,2,0,31.098747,76.613475,NH,NH-205,Rural,"31.098747,76.613475"
1,2,4,"279,304-A",01/06/2017,2017-01-07,Kiratpur Sahib,1900-01-06,00:00:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Dolowal,1,0,0,31.1844102,76.572122,NH,NH-205,Rural,"31.1844102,76.572122"
2,3,8,"279,304-A,427",01/20/2017,2017-01-21,Kiratpur Sahib,1900-01-06,20:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,2,0,0,Hit and Run,1,Intersection,Over Speeding,Sarsa Nangal,2,0,0,31.061886,76.599794,NH,NH-205,Rural,"31.061886,76.599794"
3,4,11,"279,304-A",01/20/2017,2017-01-22,Kiratpur Sahib,1900-01-06,11:00:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Hardonimoh,1,0,0,31.160744,76.590448,Link Road,Link Road,Rural,"31.160744,76.590448"
4,5,18,"279,304-A,427",02/01/2017,2017-02-03,Kiratpur Sahib,1900-01-04,19:40:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Dolowal,1,0,0,31.1844102,76.572122,NH,NH-205,Urban,"31.1844102,76.572122"
5,6,25,"279,304-A,427",02/23/2017,2017-02-23,Kiratpur Sahib,1900-01-05,15:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head On,0,Intersection,Over Speeding,Sarsa Nangal,1,0,0,31.061886,76.599794,NH,NH-205,Rural,"31.061886,76.599794"
6,7,27,"279,304-A,427",03/05/2017,2017-03-06,Kiratpur Sahib,1900-01-01,20:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Tirak Karma,1,0,0,31.147479,76.570173,Link Road,Link Road,Rural,"31.147479,76.570173"
7,8,29,"279,304-A,427",03/02/2017,2017-03-08,Kiratpur Sahib,1900-01-05,04:45:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Head On,0,Mid Block,Over Speeding,Kalyanpur,1,0,0,31.1702827,76.5713996,NH,NH-205,Rural,"31.1702827,76.5713996"
8,9,30,"279,304-A",03/12/2017,2017-03-13,Kiratpur Sahib,1900-01-01,19:00:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Massewal,1,0,0,31.2068993,76.6081615,NH,NH-205,Rural,"31.2068993,76.6081615"
9,10,34,"279,337,304-A,427",03/27/2017,2017-03-28,Kiratpur Sahib,1900-01-02,18:30:00,Bus/Truck,0,0,0,Two Wheeler,1,1,0,Head On,0,Mid Block,Over Speeding,Dehni,1,1,0,31.2057203,76.60279024,NH,NH-205,Rural,"31.2057203,76.60279024"
10,11,43,"283,304-A,427",04/21/2017,2017-04-21,Kiratpur Sahib,1900-01-06,20:15:00,Two Wheeler,1,0,0,Two Wheeler,1,1,0,Head On,0,Intersection,Over Speeding,Bharatgarh,2,1,0,31.098747,76.613475,NH,NH-205,Rural,"31.098747,76.613475"
11,12,45,"279 ,337,427",04/25/2017,2017-04-28,Kiratpur Sahib,1900-01-03,17:45:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head On,1,Intersection,Over Speeding,sarai hotal Bharatgarh,0,1,0,31.098747,76.613475,NH,NH-205,Rural,"31.098747,76.613475"
12,13,52,"279, 337",04/01/2017,2017-05-21,Kiratpur Sahib,1900-01-07,16:00:00,Car/Jeep/Van,0,1,0,Pedestrian,0,1,0,Hit from Side,0,Mid Block,Over Speeding,bara pind,0,2,0,31.1048637,76.6041313,NH,NH-205,Rural,"31.1048637,76.6041313"
13,14,56,"279, 337, 338",05/24/2017,2017-05-26,Kiratpur Sahib,1900-01-04,06:30:00,Bus/Truck,0,0,0,Pedestrian,0,1,0,Head On,0,Intersection,Over Speeding,Kiratpur sahib ,0,1,0,31.1870057,76.5648956,SH,SH-22,Urban,"31.1870057,76.5648956"
14,15,57,"279 ,337,427",05/26/2017,2017-05-28,Kiratpur Sahib,1900-01-06,00:00:00,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Hit from Back,1,Mid Block,Over Speeding,sarai hotal Bharatgarh,0,1,0,31.0865387,76.6059989,NH,NH-205,Rural,"31.0865387,76.6059989"
15,16,75,"279 ,337,427",07/28/2017,2017-07-28,Kiratpur Sahib,1900-01-06,00:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,0,0,Hit from Back,1,Mid Block,Over Speeding,Dubeta morh Bhartgarh ,0,0,0,31.0883283,76.6069211,NH,NH-205,Rural,"31.0883283,76.6069211"
16,17,77,"279 ,337,338",08/04/2017,2017-08-07,Kiratpur Sahib,1900-01-06,09:00:00,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit and Run,1,Intersection,Over Speeding,bus stand kiratpur sahib ,0,1,0,31.1870057,76.5648956,SH,SH-22,Urban,"31.1870057,76.5648956"
17,18,78,"279 ,304-A ,427 ",08/12/2017,2017-08-12,Kiratpur Sahib,1900-01-07,19:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit and Run,1,Intersection,Over Speeding,bus stand kiratpur sahib ,1,0,0,31.1870057,76.5648956,SH,SH-22,Urban,"31.1870057,76.5648956"
18,19,79,"279 ,337,427",08/06/2017,2017-08-15,Kiratpur Sahib,1900-01-01,05:40:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit and Run,1,Intersection,Over Speeding,Sarsa Nangal,0,1,0,31.0618855,76.599794,NH,NH-205,Rural,"31.0618855,76.599794"
19,20,81,"279 ,304-A ,337 ,427",08/20/2017,2017-08-21,Kiratpur Sahib,1900-01-01,16:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Hit and Run,1,Mid Block,Over Speeding,bara pind,1,0,1,31.1048637,76.6041313,NH,NH-205,Rural,"31.1048637,76.6041313"
20,21,82,"279 ,304-A  ,427",08/22/2017,2017-08-26,Kiratpur Sahib,1900-01-03,09:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit and Run,1,Mid Block,Over Speeding,dehni,1,0,0,31.2057203,76.60279024,NH,NH-205,Rural,"31.2057203,76.60279024"
21,22,87,"279 ,304-A ,337,427",08/30/2017,2017-08-30,Kiratpur Sahib,1900-01-04,12:00:00,Bus/Truck,0,0,0,Two Wheeler,1,1,0,Hit and Run,1,Mid Block,Over Speeding,Bharatgarh,1,1,0,31.1035743,76.6039256,NH,NH-205,Rural,"31.1035743,76.6039256"
22,23,88,"279,304-A,",08/31/2017,2017-09-01,Kiratpur Sahib,1900-01-05,19:45:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Bharatgarh,1,0,0,31.1035743,76.6039256,NH,NH-205,Rural,"31.1035743,76.6039256"
23,24,90,"283,304-A,427",09/08/2017,2017-09-09,Kiratpur Sahib,1900-01-06,23:40:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head On,0,Mid Block,Over Speeding,Dhaddi,1,0,0,31.1517994,76.579456,NH,NH-205,Rural,"31.1517994,76.579456"
24,25,117,"279,304-A,337,427",12/03/2017,2017-12-05,Kiratpur Sahib,1900-01-01,12:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,1,Hit from Back,1,Mid Block,Over Speeding,Gardla,1,0,1,31.1214802,76.5773255,Link Road,Link Road,Rural,"31.1214802,76.5773255"
25,26,119,"279, 304-A",12/06/2017,2017-12-06,Kiratpur Sahib,1900-01-04,10:00:00,Bus/Truck,0,0,0,Pedestrian,1,0,1,Hit and Run,1,Mid Block,Over Speeding,Dubeta morh Bhartgarh ,1,0,1,31.0883283,76.6069211,NH,NH-205,Rural,"31.0883283,76.6069211"
26,27,12,279337338,01/27/2017,2017-01-27,Chamkaur Sahib,1900-01-06,18:15:00,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit Pedestrian,0,Intersection,Over Speeding,Near T Point Vill Chonta ,0,1,0,30.9423508,76.4895865,ODR,ODR-11,Rural,"30.9423508,76.4895865"
27,28,24,"279,304-A,427",02/03/2017,2017-02-03,Chamkaur Sahib,1900-01-06,21:15:00,Bus/Truck,0,0,0,Two Wheeler,2,0,0,Head on,0,Intersection,Over Speeding,Near Canel Vill Bhakumajra,2,0,0,30.9294554,76.472594,ODR,ODR-11,Rural,"30.9294554,76.472594"
28,29,27,"279,304-A,337",03/11/2017,2017-03-12,Chamkaur Sahib,1900-01-07,18:30:00,Unknown,0,0,0,Two Wheeler,2,0,0,Unknown,1,Intersection,Over Speeding,sirhind canal near vill Bhakumajra ,2,0,0,30.9018858,76.4376893,ODR,ODR-18,Rural,"30.9018858,76.4376893"
29,30,30,"279, 337, 338, 427",03/12/2017,2017-03-14,Chamkaur Sahib,1900-01-01,13:30:00,Bus/Truck,0,0,0,Two Wheeler,0,1,1,Head on,1,Mid Block,Over Speeding,Near Vill Pipal majra ,0,1,1,30.8639651,76.4300016,Link Road,Link Road,Rural,"30.8639651,76.4300016"
30,31,34,"279,337,304-A,427",03/26/2017,2017-03-26,Chamkaur Sahib,1900-01-01,17:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,Near T Point Vill Chonta ,1,0,1,30.9321319,76.4410757,ODR,ODR-11,Rural,"30.9321319,76.4410757"
31,32,40,"279, 304-A ,427",04/08/2017,2017-04-09,Chamkaur Sahib,1900-01-07,22:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,2,0,0,Unknown,0,Intersection,Over Speeding,Shirhind calal near kiriafgana ,2,0,0,30.9023889,76.3613235,Link Road,Link Road,Rural,"30.9023889,76.3613235"
32,33,42,"279,304-A,427",04/13/2017,2017-04-14,Chamkaur Sahib,1900-01-05,20:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,Vil Rurki heraon,1,0,0,30.8456178,76.4314558,ODR,ODR-2,Rural,"30.8456178,76.4314558"
33,34,43,"279,304a,427",04/20/2017,2017-04-21,Chamkaur Sahib,1900-01-05,20:00:00,Tractor-Trolley,0,0,0,Two Wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,"Railon road,Ropar",1,0,0,30.9324228,76.3512468,Link Road,Link Road,Rural,"30.9324228,76.3512468"
34,35,74,"279,337,304a,427",07/07/2017,2017-07-08,Chamkaur Sahib,1900-01-06,21:45:00,Bus/Truck,0,0,0,Two Wheeler,2,0,0,Hit from back,1,Mid Block,Over Speeding,Sirhind canal near chamkaur sahib rest house ,2,0,0,30.8978024,76.3963902,Link Road,Link Road,Rural,"30.8978024,76.3963902"
35,36,78,279337388,07/15/2017,2017-07-23,Chamkaur Sahib,1900-01-07,14:30:00,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit from back,0,Intersection,Over Speeding,vill tapprianamar singh ,0,1,0,30.9347683,76.3292825,Link Road,Link Road,Rural,"30.9347683,76.3292825"
